"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","1869-05-01","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  147",",,Z,null","    0",",,Z,",,,"   78",",,Z","   56",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","1869-05-02","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  178",",,Z,null","    0",",,Z,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","1894-10-05","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","    8",",,0,null","    0",",,Z,",,,"  156",",I,0","  161",",I,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","1897-02-07","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","   43",",,0,null","    0",",,Z,",,,"   39",",,0","   61",",I,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2020-01-01","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","   50",",,W","   11",",,W",,,,,"  -61",",,W","10078",",,W","10030",",,W","    0",",,W","   38",",,W",,,,,,,,,,,,,,,,,,,,,"   52",",,W","   43",",,W","   62",",,W",,,,,,,,,"  270",",,W","  260",",,W",,,,,,,,,,,"   76",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2020-01-03","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","   38",",,W,2400","    0",",,W,2400","    0",",,W,2400","   94",",,W","   67",",,W",,,,,"   50",",,W","10095",",,W","10047",",,W","   67",",,W","   15",",,W",,,,,,,,,,,,,,,,,,,,,"   82",",,W","   58",",,W","   93",",,W",,,,,,,,,"  250",",,W","  230",",,W",,,,,,,,,,,"   45",",,W","   67",",,W",,,,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2020-01-06","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","   10",",,W,2400","    5",",,W,2400","    0",",,W,2400","   72",",,W","    0",",,W",,,,,"  -33",",,W","10146",",,W","10095",",,W","   11",",,W","   27",",,W",,,,,,,,,,,,,,,,,,,,,"   62",",,W","   38",",,W","   92",",,W",,,,,,,,,"  250",",,W","  230",",,W",,,,,,,,,,,"   72",",,W","  103",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2020-01-18","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","   94",",,W,2400","   53",",,W,2400","    0",",,W,2400","   28",",,W","  -66",",,W",,,,," -106",",,W","10271",",,W","10193",",,W","  -50",",,W","   22",",,W",,,,,,,,,,,,,,,,,,,,,"   63",",,W","   36",",,W","   93",",,W",,,,,,,,,"  250",",,W","  230",",,W",,,,,,,,,,,"   76",",,W","  116",",,W",,,,,"    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2020-07-04","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  306",",,W","  200",",,W",,,,,"  183",",,W","10129",",,W","10081",",,W","  206",",,W","   20",",,W",,,,,,,,,,,,,,,,,,,,,"   70",",,W","   42",",,W","   90",",,W",,,,,,,,,"   60",",,W","   40",",,W",,,,,,,,,,,"   45",",,W","   67",",,W",,,,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00094728","2020-08-04","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  140",",,W,2400","    0",",,W,2400","    0",",,W,2400","  261",",,W","  211",",,W",,,,,"  211",",,W","10102",",,W","10051",",,W","  222",",,W","   32",",,W",,,,,,,,,,,,,,,,,,,,,"   84",",,W","   62",",,W","   97",",,W",,,,,,,,,"  150",",,W","  130",",,W",,,,,,,,,,,"  112",",,W","  215",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
