id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2595,Skylit Studio Oasis | Midtown Manhattan Sanctuary,2845,1462506326262395414,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,,30,47,2022-06-21,0.24,3,256,0,
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,1462506784874222530,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,,30,2,2025-10-07,0.04,2,83,1,
7097,"Perfect for Your Parents, With Garden & Patio",17571,1462506848265336113,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,,2,423,2025-09-23,2.16,2,0,26,OSE-STRREG-0000008
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,1462507010207005813,Nathalie,Brooklyn,Bedford-Stuyvesant,40.684555843449075,-73.93963415175676,Entire home/apt,,30,189,2023-10-16,0.94,2,220,0,
11943,Country space in the city,45445,1462507517388692132,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,,30,0,,,1,0,0,
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",50124,1462507638639660367,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,,1,470,2026-01-14,2.46,1,140,37,OSE-STRREG-0000923
15385,"Very, very cozy place",60252,1462507969318892407,Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,,31,63,2025-07-25,0.33,1,97,3,
77765,Superior @ Box House,417504,1462517884839893571,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,,1,72,2025-10-11,0.40,29,0,4,Exempt
80700,Loft w/ Terrace @ Box House Hotel,417504,1462517884839893571,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Private room,,1,10,2022-10-22,0.06,29,0,0,Exempt
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,1462519279507587472,Keishera,Brooklyn,Crown Heights,40.6736,-73.9551,Entire home/apt,,3,178,2026-01-03,0.99,1,96,17,Exempt
151199,Astoria/LIC  Private Home located near train,722320,1462513776231025449,Gigi,Queens,Astoria,40.7573,-73.91488,Entire home/apt,,1,568,2026-02-07,3.23,1,234,38,OSE-STRREG-0002372
248865,Loft Suite,417504,1462517884839893571,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,,1,36,2024-07-13,0.21,29,0,0,Exempt
